"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 08:37:10 GMT 2024","Thu May 02 08:37:14 GMT 2024","3911","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
"passed","Thu May 02 08:37:46 GMT 2024","Thu May 02 08:37:47 GMT 2024","1045","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
"broken","Thu May 02 08:36:57 GMT 2024","Thu May 02 08:37:07 GMT 2024","10449","","","","CartTest","GoToCheckout","GoToCheckout",""
"broken","Thu May 02 08:37:14 GMT 2024","Thu May 02 08:37:24 GMT 2024","10474","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"passed","Thu May 02 08:37:09 GMT 2024","Thu May 02 08:37:10 GMT 2024","1082","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"passed","Thu May 02 08:37:07 GMT 2024","Thu May 02 08:37:09 GMT 2024","1729","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
"broken","Thu May 02 08:37:35 GMT 2024","Thu May 02 08:37:45 GMT 2024","10430","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"passed","Thu May 02 08:36:37 GMT 2024","Thu May 02 08:36:46 GMT 2024","9492","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"broken","Thu May 02 08:37:24 GMT 2024","Thu May 02 08:37:35 GMT 2024","10446","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 08:37:45 GMT 2024","Thu May 02 08:37:46 GMT 2024","1055","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
"broken","Thu May 02 08:36:46 GMT 2024","Thu May 02 08:36:57 GMT 2024","10550","","","","CartTest","BackToProducts","BackToProducts",""
