"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 02 13:21:35 GMT 2024","Thu May 02 13:21:46 GMT 2024","10366","","","","CartTest","GoToCheckout","GoToCheckout",""
"passed","Thu May 02 13:21:46 GMT 2024","Thu May 02 13:21:47 GMT 2024","923","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
"passed","Thu May 02 13:22:22 GMT 2024","Thu May 02 13:22:23 GMT 2024","750","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
"broken","Thu May 02 13:22:12 GMT 2024","Thu May 02 13:22:22 GMT 2024","10339","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"broken","Thu May 02 13:21:51 GMT 2024","Thu May 02 13:22:01 GMT 2024","10372","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"passed","Thu May 02 13:21:47 GMT 2024","Thu May 02 13:21:47 GMT 2024","650","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"passed","Thu May 02 13:21:47 GMT 2024","Thu May 02 13:21:51 GMT 2024","3647","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
"broken","Thu May 02 13:21:25 GMT 2024","Thu May 02 13:21:35 GMT 2024","10407","","","","CartTest","BackToProducts","BackToProducts",""
"passed","Thu May 02 13:21:23 GMT 2024","Thu May 02 13:21:25 GMT 2024","2441","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"broken","Thu May 02 13:22:01 GMT 2024","Thu May 02 13:22:12 GMT 2024","10360","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 13:22:23 GMT 2024","Thu May 02 13:22:24 GMT 2024","818","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
