"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 08:53:40 GMT 2024","Thu May 02 08:53:41 GMT 2024","626","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
"passed","Thu May 02 08:52:38 GMT 2024","Thu May 02 08:52:41 GMT 2024","2730","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"passed","Thu May 02 08:53:03 GMT 2024","Thu May 02 08:53:04 GMT 2024","987","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"passed","Thu May 02 08:53:04 GMT 2024","Thu May 02 08:53:08 GMT 2024","3907","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
"broken","Thu May 02 08:53:08 GMT 2024","Thu May 02 08:53:18 GMT 2024","10438","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"broken","Thu May 02 08:53:18 GMT 2024","Thu May 02 08:53:29 GMT 2024","10458","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 08:53:02 GMT 2024","Thu May 02 08:53:03 GMT 2024","1105","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
"broken","Thu May 02 08:53:29 GMT 2024","Thu May 02 08:53:39 GMT 2024","10419","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"broken","Thu May 02 08:52:52 GMT 2024","Thu May 02 08:53:02 GMT 2024","10429","","","","CartTest","GoToCheckout","GoToCheckout",""
"passed","Thu May 02 08:53:39 GMT 2024","Thu May 02 08:53:40 GMT 2024","706","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
"broken","Thu May 02 08:52:41 GMT 2024","Thu May 02 08:52:52 GMT 2024","10500","","","","CartTest","BackToProducts","BackToProducts",""
