"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 02 09:27:43 GMT 2024","Thu May 02 09:27:54 GMT 2024","10359","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 09:27:29 GMT 2024","Thu May 02 09:27:29 GMT 2024","678","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"passed","Thu May 02 09:28:05 GMT 2024","Thu May 02 09:28:05 GMT 2024","540","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
"broken","Thu May 02 09:27:07 GMT 2024","Thu May 02 09:27:17 GMT 2024","10412","","","","CartTest","BackToProducts","BackToProducts",""
"passed","Thu May 02 09:27:29 GMT 2024","Thu May 02 09:27:33 GMT 2024","3627","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
"broken","Thu May 02 09:27:33 GMT 2024","Thu May 02 09:27:43 GMT 2024","10353","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"broken","Thu May 02 09:27:54 GMT 2024","Thu May 02 09:28:04 GMT 2024","10339","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"passed","Thu May 02 09:27:05 GMT 2024","Thu May 02 09:27:07 GMT 2024","2118","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"broken","Thu May 02 09:27:17 GMT 2024","Thu May 02 09:27:28 GMT 2024","10350","","","","CartTest","GoToCheckout","GoToCheckout",""
"passed","Thu May 02 09:28:04 GMT 2024","Thu May 02 09:28:05 GMT 2024","573","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
"passed","Thu May 02 09:27:28 GMT 2024","Thu May 02 09:27:29 GMT 2024","856","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
