"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 02 09:03:10 GMT 2024","Thu May 02 09:03:20 GMT 2024","10382","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"passed","Thu May 02 09:02:44 GMT 2024","Thu May 02 09:02:45 GMT 2024","865","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"broken","Thu May 02 09:02:33 GMT 2024","Thu May 02 09:02:43 GMT 2024","10397","","","","CartTest","GoToCheckout","GoToCheckout",""
"broken","Thu May 02 09:02:49 GMT 2024","Thu May 02 09:02:59 GMT 2024","10406","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"passed","Thu May 02 09:02:20 GMT 2024","Thu May 02 09:02:22 GMT 2024","2297","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"passed","Thu May 02 09:02:43 GMT 2024","Thu May 02 09:02:44 GMT 2024","1117","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
"broken","Thu May 02 09:02:22 GMT 2024","Thu May 02 09:02:33 GMT 2024","10467","","","","CartTest","BackToProducts","BackToProducts",""
"broken","Thu May 02 09:02:59 GMT 2024","Thu May 02 09:03:10 GMT 2024","10413","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 09:03:21 GMT 2024","Thu May 02 09:03:22 GMT 2024","861","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
"passed","Thu May 02 09:03:20 GMT 2024","Thu May 02 09:03:21 GMT 2024","841","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
"passed","Thu May 02 09:02:45 GMT 2024","Thu May 02 09:02:49 GMT 2024","3777","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
